E,N,Z
0.0348,0.337,-0.143
0.0348,0.337,-0.143
0.0348,0.337,-0.143
0.0348,0.337,-0.143
0.0348,0.337,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.338,-0.143
0.0349,0.338,-0.143
0.0349,0.338,-0.143
0.0348,0.338,-0.143
0.0348,0.339,-0.143
0.0348,0.339,-0.143
0.0347,0.339,-0.143
0.0348,0.339,-0.143
0.0348,0.339,-0.143
0.0349,0.339,-0.143
0.0348,0.339,-0.143
0.0348,0.339,-0.143
0.0348,0.339,-0.143
0.0348,0.339,-0.143
0.0349,0.339,-0.143
0.0349,0.339,-0.143
0.0348,0.339,-0.143
0.0349,0.339,-0.143
0.0349,0.339,-0.143
0.0349,0.339,-0.143
0.0347,0.339,-0.143
0.0345,0.339,-0.143
0.0344,0.339,-0.143
0.0346,0.34,-0.143
0.0348,0.34,-0.143
0.035,0.34,-0.143
0.035,0.34,-0.143
0.0349,0.34,-0.143
0.035,0.34,-0.143
0.035,0.34,-0.143
0.0349,0.34,-0.143
0.0347,0.34,-0.143
0.0345,0.34,-0.143
0.0345,0.34,-0.143
0.0347,0.34,-0.143
0.0349,0.34,-0.143
0.0351,0.34,-0.143
0.035,0.34,-0.143
0.0349,0.34,-0.143
0.0348,0.34,-0.143
0.0348,0.34,-0.143
0.035,0.34,-0.143
0.0351,0.34,-0.143
0.0352,0.341,-0.143
0.0349,0.341,-0.143
0.0346,0.341,-0.143
0.0347,0.341,-0.143
0.0349,0.341,-0.143
0.0351,0.341,-0.143
0.0352,0.341,-0.143
0.035,0.341,-0.143
0.0346,0.341,-0.143
0.0342,0.341,-0.143
0.0342,0.341,-0.143
0.0343,0.341,-0.143
0.0345,0.341,-0.143
0.0347,0.341,-0.143
0.0349,0.341,-0.143
0.0351,0.341,-0.143
0.0351,0.341,-0.143
0.035,0.341,-0.143
0.0349,0.342,-0.143
0.0346,0.342,-0.144
0.0343,0.342,-0.144
0.0344,0.342,-0.144
0.0348,0.342,-0.144
0.0353,0.342,-0.144
0.0352,0.342,-0.144
0.0345,0.342,-0.144
0.0341,0.342,-0.144
0.0343,0.342,-0.144
0.035,0.342,-0.144
0.0355,0.342,-0.143
0.0357,0.342,-0.143
0.0358,0.342,-0.143
0.0355,0.342,-0.144
0.0351,0.342,-0.144
0.0348,0.343,-0.144
0.0347,0.343,-0.144
0.035,0.342,-0.144
0.0349,0.342,-0.143
0.0342,0.342,-0.143
0.034,0.342,-0.143
0.034,0.343,-0.143
0.0344,0.343,-0.143
0.0347,0.343,-0.143
0.0348,0.343,-0.144
0.035,0.343,-0.144
0.0355,0.343,-0.144
0.0356,0.343,-0.144
0.0352,0.343,-0.144
0.0344,0.343,-0.144
0.0338,0.343,-0.144
0.0342,0.343,-0.144
0.0348,0.343,-0.144
0.0352,0.343,-0.144
0.0349,0.343,-0.144
0.0339,0.343,-0.144
0.0332,0.343,-0.145
0.0337,0.344,-0.144
0.0351,0.344,-0.144
0.0366,0.344,-0.144
0.0365,0.344,-0.144
0.0349,0.344,-0.144
0.0342,0.344,-0.143
0.0348,0.344,-0.144
0.0355,0.344,-0.144
0.0356,0.345,-0.144
0.0345,0.345,-0.144
0.0331,0.344,-0.144
0.0325,0.344,-0.143
0.0326,0.344,-0.143
0.034,0.344,-0.142
0.0361,0.344,-0.143
0.0367,0.344,-0.144
0.0362,0.344,-0.144
0.0357,0.344,-0.144
0.036,0.344,-0.144
0.0368,0.345,-0.144
0.0364,0.345,-0.145
0.0348,0.345,-0.145
0.0336,0.344,-0.145
0.0337,0.344,-0.145
0.0351,0.344,-0.145
0.0362,0.344,-0.145
0.0362,0.344,-0.145
0.0357,0.345,-0.145
0.0347,0.345,-0.145
0.0341,0.345,-0.145
0.0342,0.345,-0.145
0.034,0.345,-0.145
0.0334,0.345,-0.144
0.0327,0.345,-0.144
0.0321,0.346,-0.145
0.0329,0.346,-0.145
0.0353,0.346,-0.145
0.0371,0.345,-0.145
0.0368,0.345,-0.144
0.0343,0.345,-0.144
0.0313,0.346,-0.144
0.0311,0.345,-0.144
0.0333,0.345,-0.143
0.0358,0.345,-0.143
0.0378,0.345,-0.143
0.0382,0.345,-0.143
0.0375,0.346,-0.144
0.0367,0.346,-0.145
0.0355,0.346,-0.144
0.0347,0.346,-0.144
0.0346,0.347,-0.144
0.034,0.347,-0.144
0.0341,0.346,-0.145
0.0359,0.346,-0.145
0.0366,0.347,-0.145
0.0348,0.347,-0.145
0.033,0.347,-0.144
0.0324,0.347,-0.145
0.0337,0.347,-0.145
0.0359,0.347,-0.145
0.037,0.347,-0.145
0.0369,0.347,-0.145
0.0349,0.347,-0.146
0.0321,0.347,-0.146
0.0314,0.347,-0.146
0.0333,0.347,-0.146
0.0353,0.347,-0.145
0.0363,0.347,-0.144
0.0367,0.347,-0.143
0.0366,0.347,-0.143
0.0351,0.348,-0.143
0.0316,0.348,-0.143
0.0291,0.348,-0.144
0.0301,0.347,-0.145
0.0339,0.347,-0.145
0.0377,0.348,-0.144
0.0392,0.348,-0.144
0.0396,0.348,-0.145
0.0381,0.349,-0.145
0.0347,0.348,-0.145
0.0322,0.349,-0.145
0.0314,0.348,-0.145
0.0327,0.347,-0.144
0.0348,0.347,-0.145
0.0364,0.347,-0.145
0.0369,0.348,-0.146
0.0372,0.348,-0.146
0.0387,0.348,-0.146
0.0393,0.348,-0.146
0.0379,0.347,-0.146
0.0351,0.347,-0.146
0.0326,0.347,-0.147
0.0324,0.347,-0.147
0.0328,0.347,-0.147
0.0328,0.348,-0.146
0.0319,0.348,-0.145
0.0309,0.349,-0.143
0.0313,0.349,-0.143
0.0324,0.349,-0.143
0.0332,0.348,-0.143
0.0331,0.348,-0.144
0.0346,0.348,-0.144
0.0375,0.349,-0.144
0.039,0.35,-0.144
0.0378,0.35,-0.145
0.0346,0.35,-0.145
0.0334,0.35,-0.145
0.0349,0.349,-0.144
0.0373,0.349,-0.144
0.0392,0.348,-0.144
0.0386,0.348,-0.145
0.0356,0.348,-0.146
0.0323,0.349,-0.146
0.0325,0.349,-0.146
0.035,0.349,-0.146
0.0373,0.348,-0.146
0.0372,0.349,-0.147
0.034,0.35,-0.148
0.0338,0.352,-0.148
0.0354,0.352,-0.148
0.0347,0.351,-0.148
0.0314,0.35,-0.147
0.0294,0.349,-0.147
0.0324,0.349,-0.147
0.0349,0.349,-0.146
0.0339,0.349,-0.145
0.0324,0.349,-0.144
0.0321,0.35,-0.143
0.0334,0.35,-0.142
0.0339,0.35,-0.142
0.0332,0.35,-0.142
0.0336,0.35,-0.143
0.0361,0.35,-0.144
0.0369,0.35,-0.145
0.0354,0.351,-0.145
0.0363,0.352,-0.146
0.0381,0.353,-0.147
0.0393,0.352,-0.146
0.0387,0.352,-0.146
0.0366,0.351,-0.145
0.0364,0.351,-0.145
0.0366,0.351,-0.145
0.0345,0.351,-0.146
0.0311,0.351,-0.147
0.0267,0.351,-0.146
0.0265,0.352,-0.146
0.032,0.352,-0.147
0.0383,0.352,-0.148
0.0424,0.352,-0.149
0.0405,0.352,-0.149
0.0361,0.351,-0.147
0.0348,0.351,-0.145
0.0344,0.352,-0.145
0.0331,0.352,-0.145
0.0342,0.351,-0.145
0.0389,0.35,-0.144
0.0394,0.35,-0.144
0.0364,0.35,-0.145
0.0351,0.35,-0.146
0.0342,0.351,-0.146
0.036,0.352,-0.146
0.0378,0.352,-0.145
0.0359,0.353,-0.144
0.0345,0.353,-0.144
0.0343,0.353,-0.146
0.0332,0.353,-0.148
0.0315,0.352,-0.147
0.0302,0.352,-0.145
0.0315,0.352,-0.144
0.0337,0.351,-0.144
0.0341,0.352,-0.145
0.0334,0.351,-0.147
0.0322,0.351,-0.148
0.0335,0.351,-0.148
0.0348,0.352,-0.146
0.0336,0.353,-0.145
0.0352,0.353,-0.145
